2008- 72;18;61;83;37;39;36;59;49;75;54;81;50;74;79;78;12;13;73;17
2009- 07;51;30;26;28;19;06;71;33;31;79;42;08;91;01;25;80;44;43;29
2010- 55;22;12;29;81;18;82;44;53;28;63;27;60;78;89;85;87;88;86;43
2011- 38;54;06;56;40;08;84;46;86;57;59;90;45;58;07;39;85;88;89;87
2012- 86;36;52;65;56;74;31;67;68;75;34;04;35;59;66;62;20;63;58;57
2013- 91;69;57;53;27;28;39;21;85;77;40;19;70;86;61;42;76;56;60;55
2014- 28;05;20;80;18;27;04;78;75;52;74;53;83;72;81;73;76;69;70;77
2015- 56;53;64;07;05;80;20;81;77;51;54;68;52;55;70;69;90;88;89;91
2016- 47;31;50;30;80;24;06;61;29;88;21;23;28;49;02;25;48;62;87;22
