2008- 008;009;010;010;010;016;016;019;035;038;059;094;113;164;168;252;330;352;393;451
2009- 009;011;011;014;015;017;017;018;019;020;021;031;034;036;041;136;162;168;201;219
2010- 052;053;053;054;070;123;129;159;167;176;184;203;213;263;461;494;551;551;612;1657
2011- 025;026;034;052;053;067;072;087;089;094;106;112;124;144;144;206;209;272;328;418
2012- 085;097;121;175;177;185;188;231;240;245;286;287;330;367;372;390;398;505;616;2116
2013- 012;012;012;013;013;017;025;025;038;046;047;062;074;076;088;095;134;142;294;298
2014- 030;032;036;045;048;052;079;097;107;110;164;171;175;274;403;426;546;667;758;1429
2015- 008;008;009;016;018;026;027;029;031;056;065;069;106;132;136;190;219;242;308;333
2016- 010;012;013;013;013;018;033;036;039;056;058;062;066;073;083;083;118;134;171;334
