2008- 37;67;49;48;65;77;66;17;34;45;73;12;39;79;74;13;41;38;40;78
2009- 73;30;07;41;26;70;38;18;67;17;80;69;68;24;04;75;29;71;72;25
2010- 52;20;73;43;10;17;74;45;63;85;71;65;84;64;87;69;68;59;89;88
2011- 25;69;06;52;47;56;26;54;88;38;89;49;45;85;48;08;07;86;51;87
2012- 85;66;36;69;64;68;33;89;37;34;56;58;65;39;63;62;35;38;57;67
2013- 90;87;69;51;52;21;85;73;42;62;61;05;22;71;54;38;72;37;55;41
2014- 02;81;04;72;75;27;73;17;84;37;69;34;38;83;24;06;36;05;70;74
2015- 04;40;11;71;20;41;52;54;80;56;19;55;51;70;91;17;88;69;89;90
2016- 85;04;39;28;62;27;45;38;46;22;68;86;01;87;70;21;71;72;02;69
