2008- 130;135;154;167;179;181;205;269;271;393;438;675;729;764;776;1056;1107;1518;1948;3164
2009- 076;085;107;110;117;120;151;158;221;261;354;396;423;431;439;484;528;741;1135;1199
2010- 320;408;426;443;515;529;621;680;739;814;825;914;1149;1248;1676;1975;2021;2244;2296;3054
2011- 228;231;252;278;314;326;409;411;467;494;542;555;597;708;886;943;1100;1101;1123;2850
2012- 334;341;378;454;571;591;651;653;783;1506;1597;1826;1889;2340;2503;2608;2753;4338;4837;5489
2013- 166;166;177;187;214;233;247;249;373;400;452;495;622;643;647;935;986;1098;1419;1910
2014- 133;166;166;180;228;244;266;286;344;349;361;384;443;463;554;574;901;1382;1499;3206
2015- 104;112;116;129;130;132;142;154;164;223;226;265;336;337;395;497;527;672;1461;1736
2016- 215;217;218;220;232;235;276;351;354;447;489;494;651;691;717;718;879;890;1574;3393
