Years;Values
1985;23.69
1986;27.89
1987;22.286
1988;22.791
1989;30.788
1990;25.761
1991;24.285
1992;22.92
1993;28.195
1994;22.262
1995;22.588
1996;24.807
1997;35.427
1998;22.205
1999;22.158
2000;24.585
2001;35.494
2002;29.604
2003;29.616
2004;22.68
2005;50.364
2006;22.823
2007;28.567
2008;40.941
2009;22.609
2010;23.067
2011;27.976
2012;22.555
2013;34.819
2014;31.801
2015;52.092
