Years;Values
1985;0.148
1986;-3.359
1987;-0.330
1988;0.939
1989;-2.937
1990;-2.655
1991;-2.397
1992;-2.529
1993;-2.791
1994;-1.438
1995;3.005
1996;-2.371
1997;-1.529
1998;-0.997
1999;-1.737
2000;-1.228
2001;-3.465
2002;-2.532
2003;-3.598
2004;-1.498
2005;-3.558
2006;-2.026
2007;-1.564
2008;-4.001
2009;-2.501
2010;-1.470
2011;-3.231
2012;-2.046
2013;-3.059
2014;-2.799
2015;-3.945
