Years;Values
1985;51.824
1986;111.001
1987;45.984
1988;62.835
1989;57.782
1990;52.598
1991;79.827
1992;45.421
1993;90.695
1994;44.118
1995;68.842
1996;70.249
1997;67.756
1998;61.922
1999;43.971
2000;62.339
2001;74.422
2002;84.762
2003;61.817
2004;44.962
2005;89.678
2006;52.323
2007;51.872
2008;77.014
2009;45.904
2010;129.921
2011;56.661
2012;46.589
2013;79.410
2014;86.261
2015;97.151
