Years;Values
1985;45.580
1986;70.475
1987;32.995
1988;48.854
1989;40.732
1990;46.891
1991;44.512
1992;30.627
1993;76.090
1994;33.724
1995;45.507
1996;36.057
1997;47.528
1998;38.310
1999;31.096
2000;67.744
2001;63.715
2002;51.158
2003;99.036
2004;31.827
2005;75.338
2006;45.009
2007;59.242
2008;58.377
2009;33.873
2010;144.757
2011;62.723
2012;38.975
2013;43.310
2014;72.824
2015;99.353
