Distance;Velocity
0.00;76.68
252.42;79.98
504.84;81.03
757.27;80.80
881.43;81.24
1131.70;78.58
1381.97;79.25
1632.25;76.18
1882.52;69.82
2132.79;92.94
2383.06;91.45
2633.34;91.53
2883.61;93.36
3133.88;93.38
3347.38;92.15
3601.34;89.15
3855.29;82.68
4109.25;80.16
4363.20;78.52
4617.16;75.91
4871.11;73.69
5125.07;72.99
5379.02;72.18
5632.98;73.25
5886.93;72.14
6140.88;73.41
6394.84;83.60
6427.06;84.05
6677.14;93.81
6927.23;97.89
7177.32;93.49
7427.40;83.49
7677.49;73.83
7927.58;67.57
8177.66;65.77
8427.75;66.92
8677.84;68.88
8927.92;71.22
9178.01;72.51
9428.10;71.94
9678.18;69.43
9928.27;67.39
10178.36;68.53
10428.44;70.13
10542.95;71.40
10792.95;73.63
11042.95;74.82
11292.95;74.54
11542.95;72.38
11792.95;68.39
12042.95;64.16
12292.95;61.00
12542.95;59.13
12792.95;58.32
13042.95;57.27
13292.95;55.72
13542.95;54.59
13574.67;54.79
13825.61;55.02
14076.56;55.79
14327.50;55.78
14578.44;54.79
14829.39;53.93
15080.33;53.94
15331.27;56.36
15582.22;59.47
15833.16;62.50
16074.40;64.76
16325.07;66.29
16575.74;66.92
16826.41;66.35
17077.08;66.27
17327.75;66.90
17578.41;68.29
17829.08;68.97
18079.75;68.67
18330.42;68.41
18581.09;68.20
18831.76;68.03
19082.42;68.25
19333.09;67.82
19583.76;67.52
19834.43;67.36
20085.10;67.08
20335.77;67.27
20525.57;67.63
20775.57;66.76
21025.57;66.36
21275.57;66.35
21525.57;66.53
21775.57;66.72
22025.57;67.03
22275.57;67.17
22525.57;66.65
22775.57;65.54
23025.57;63.91
23275.57;62.13
23449.01;61.01
23699.36;60.38
23949.70;60.98
24200.05;63.32
24450.39;66.09
24700.74;69.61
24951.09;71.72
25201.43;73.50
25451.78;73.98
25509.09;73.94
25762.54;73.71
26015.99;74.18
26269.44;74.31
26522.89;74.77
26776.34;73.88
27029.78;72.45
27283.23;71.00
27484.94;70.89
27740.01;71.53
27995.08;72.01
28250.16;71.80
28505.23;71.90
28760.30;71.04
29015.38;69.57
