Distance;Velocity
0.00;483.86
251.61;427.44
503.23;404.08
754.84;392.50
837.74;389.67
1089.17;382.77
1340.60;372.46
1592.04;361.47
1843.47;344.50
2094.90;334.04
2346.33;324.05
2362.28;324.05
2646.22;310.21
2930.15;298.34
3214.09;292.56
3498.03;291.96
3781.97;286.75
3960.95;284.00
4286.37;269.82
4611.80;259.79
4937.23;260.39
5229.43;264.54
5535.44;272.38
5841.45;278.48
6147.46;283.19
6355.97;283.62
6698.65;282.90
7041.34;280.54
7384.02;280.30
7543.30;279.88
7853.32;279.50
8163.34;279.90
8473.36;279.11
8550.32;279.06
8903.88;277.24
9257.43;276.30
9610.98;277.73
9964.54;276.06
10311.26;270.39
10563.80;266.34
10816.34;260.06
11068.87;253.84
11321.41;248.38
11573.95;244.49
11826.49;241.98
11842.51;241.98
12110.75;241.02
12378.98;237.95
12647.22;234.71
12888.08;233.78
13145.18;237.87
13402.28;243.41
13659.38;243.57
13916.48;239.95
14173.58;238.70
14279.96;237.72
14574.77;234.69
14869.58;231.44
15164.39;229.29
15301.43;229.68
15626.86;231.44
15952.28;226.96
16277.71;218.17
16569.92;210.60
16899.19;202.34
17228.46;197.32
17557.73;195.00
17568.17;195.19
17892.44;191.31
18216.71;185.55
18540.98;178.25
18865.25;169.59
19183.25;163.77
19485.58;162.99
19787.90;167.08
20090.23;172.77
20392.55;174.16
20694.88;174.60
20819.97;171.16
21143.83;164.08
21467.70;157.85
21791.56;157.43
22012.23;158.84
22330.17;161.21
22648.11;156.59
22966.04;148.30
22976.13;147.46
23286.15;144.36
23596.16;146.08
23906.18;152.51
23983.15;151.00
24297.16;146.20
24611.16;135.11
24925.17;131.04
25239.17;130.71
25553.18;127.52
25683.11;125.52
26018.57;118.23
26354.03;110.96
26689.50;105.56
27024.96;103.66
27063.36;104.97
27391.47;107.43
27719.58;109.61
28047.69;109.70
28375.80;109.76
28484.41;109.49
28773.03;108.90
29061.65;109.87
29350.28;109.63
29638.90;109.38
29927.52;112.63
30109.45;113.11
30453.32;111.93
30797.19;109.39
31141.06;105.53
31449.83;98.30
31778.91;89.40
32107.98;85.75
32437.05;87.89
32500.93;88.19
32821.09;89.54
33141.25;88.03
33461.40;85.20
33781.56;82.07
