Distance;Velocity
0.00;61.45
250.00;69.63
500.00;69.30
750.00;73.25
1000.00;78.29
1250.00;85.66
1500.00;88.58
1750.00;83.05
2000.00;81.91
2250.00;66.11
2500.00;67.93
2598.61;68.04
2856.31;68.78
3114.00;70.64
3371.70;72.51
3629.39;73.48
3887.08;74.76
4144.78;76.65
4384.34;78.49
4660.64;80.85
4936.94;81.55
5213.24;82.04
5489.53;82.34
5765.83;81.62
6042.13;78.10
6318.43;75.77
6418.65;75.18
6679.07;73.33
6939.49;74.82
7199.90;75.52
7460.32;76.53
7720.74;78.63
7981.15;80.16
8241.57;80.68
8501.99;76.83
8762.40;72.53
9022.82;68.94
9125.54;66.34
9380.91;64.77
9636.28;60.49
9891.65;54.52
10147.01;46.07
10402.38;40.57
10657.75;39.57
10913.12;39.57
11168.48;39.84
11423.85;39.22
11679.22;38.04
11779.95;37.74
12056.58;37.32
12333.21;37.23
12609.84;39.14
12886.47;42.64
13163.09;44.94
13439.72;47.48
13716.35;47.15
13992.98;46.24
14056.31;46.12
14326.42;45.80
14596.53;45.91
14866.65;45.78
15136.76;44.82
15406.87;43.11
15676.98;43.23
15947.09;45.28
16217.20;46.29
16487.31;46.31
16629.99;45.41
16920.04;44.46
17210.08;44.82
17500.13;46.00
17790.18;45.34
18080.22;44.52
18370.27;42.51
18660.31;41.97
18765.52;41.74
19018.70;41.59
19271.88;40.35
19525.06;39.26
19778.24;38.77
20031.42;37.74
20284.60;37.01
20537.78;36.51
20790.96;36.72
21044.14;37.33
21297.32;37.44
21506.84;37.49
21757.53;37.47
22008.21;37.35
22258.90;37.11
22509.58;37.26
22760.27;37.41
23010.95;37.31
23261.64;37.40
23512.32;37.29
23763.00;37.15
24013.69;37.81
24264.37;39.18
24438.29;40.22
24690.83;41.51
24943.37;42.56
25195.90;44.41
25448.44;45.65
25700.98;46.24
25953.52;45.81
25969.54;45.67
26223.56;45.05
26477.57;44.39
26731.59;43.88
26985.61;41.79
