Distance;Velocity
0.00;346.40
251.61;293.16
503.23;270.94
754.84;259.22
837.74;256.16
1089.17;248.27
1340.60;237.35
1592.04;228.15
1843.47;216.16
2094.90;207.50
2346.33;198.00
2362.28;198.00
2646.22;187.19
2930.15;179.51
3214.09;176.32
3498.03;171.43
3781.97;161.92
3960.95;158.55
4286.37;148.71
4611.80;143.77
4937.23;143.51
5229.43;145.37
5535.44;150.81
5841.45;155.45
6147.46;159.72
6355.97;162.51
6698.65;166.18
7041.34;168.42
7384.02;169.28
7543.30;169.18
7853.32;167.51
8163.34;167.59
8473.36;166.53
8550.32;164.97
8903.88;163.12
9257.43;160.11
9610.98;157.43
9964.54;157.01
10311.26;156.29
10563.80;157.99
10816.34;158.95
11068.87;161.05
11321.41;165.22
11573.95;168.47
11826.49;169.01
11842.51;169.01
12110.75;165.29
12378.98;161.71
12647.22;162.07
12888.08;162.56
13145.18;160.89
13402.28;159.75
13659.38;160.98
13916.48;162.81
14173.58;159.73
14279.96;158.64
14574.77;156.41
14869.58;157.09
15164.39;157.98
15301.43;158.31
15626.86;155.49
15952.28;149.05
16277.71;141.55
16569.92;136.38
16899.19;132.47
17228.46;132.48
17557.73;133.66
17568.17;133.56
17892.44;134.23
18216.71;132.00
18540.98;127.85
18865.25;127.56
19183.25;126.62
19485.58;124.37
19787.90;121.20
20090.23;122.13
20392.55;121.22
20694.88;121.53
20819.97;120.19
21143.83;121.13
21467.70;120.20
21791.56;119.31
22012.23;119.06
22330.17;118.39
22648.11;116.02
22966.04;111.84
22976.13;111.60
23286.15;109.66
23596.16;112.36
23906.18;119.49
23983.15;119.06
24297.16;117.49
24611.16;108.01
24925.17;98.05
25239.17;91.42
25553.18;86.62
25683.11;85.81
26018.57;84.66
26354.03;85.33
26689.50;86.50
27024.96;90.33
27063.36;91.45
27391.47;93.28
27719.58;94.42
28047.69;94.64
28375.80;95.39
28484.41;95.51
28773.03;95.43
29061.65;95.06
29350.28;93.69
29638.90;93.37
29927.52;91.21
30109.45;90.29
30453.32;87.34
30797.19;85.64
31141.06;84.09
31449.83;82.73
31778.91;81.72
32107.98;82.43
32437.05;81.42
32500.93;81.02
32821.09;78.45
33141.25;76.29
33461.40;76.83
33781.56;76.52
