Distance;Velocity
0.00;77.99
250.00;76.76
500.00;75.56
750.00;78.21
1000.00;86.68
1250.00;93.79
1500.00;98.10
1750.00;98.31
2000.00;93.48
2250.00;52.96
2500.00;52.75
2598.61;52.77
2856.31;54.96
3114.00;54.35
3371.70;53.86
3629.39;51.88
3887.08;53.33
4144.78;54.81
4384.34;58.82
4660.64;65.15
4936.94;68.88
5213.24;70.29
5489.53;69.72
5765.83;68.29
6042.13;65.93
6318.43;65.76
6418.65;67.13
6679.07;68.83
6939.49;73.74
7199.90;76.15
7460.32;77.44
7720.74;76.28
7981.15;74.10
8241.57;71.68
8501.99;68.93
8762.40;69.08
9022.82;74.22
9125.54;77.18
9380.91;80.77
9636.28;79.08
9891.65;71.57
10147.01;57.88
10402.38;44.17
10657.75;36.17
10913.12;31.24
11168.48;27.78
11423.85;27.06
11679.22;28.41
11779.95;28.61
12056.58;30.19
12333.21;31.99
12609.84;32.22
12886.47;32.83
13163.09;30.57
13439.72;30.65
13716.35;33.69
13992.98;38.72
14056.31;40.86
14326.42;44.39
14596.53;45.28
14866.65;47.37
15136.76;49.07
15406.87;52.46
15676.98;53.45
15947.09;53.92
16217.20;55.05
16487.31;55.48
16629.99;56.61
16920.04;55.95
17210.08;56.37
17500.13;57.32
17790.18;58.43
18080.22;59.43
18370.27;59.15
18660.31;58.49
18765.52;57.88
19018.70;57.67
19271.88;57.46
19525.06;58.13
19778.24;59.10
20031.42;59.01
20284.60;58.93
20537.78;57.61
20790.96;56.61
21044.14;55.81
21297.32;55.13
21506.84;54.34
21757.53;54.53
22008.21;56.00
22258.90;55.96
22509.58;56.82
22760.27;58.63
23010.95;61.61
23261.64;64.35
23512.32;65.38
23763.00;64.41
24013.69;63.45
24264.37;64.91
24438.29;66.51
24690.83;68.54
24943.37;68.46
25195.90;67.72
25448.44;68.21
25700.98;68.53
25953.52;68.14
25969.54;67.98
26223.56;68.11
26477.57;68.88
26731.59;69.28
26985.61;69.45
