Distance;Velocity
0.00;93.34
268.85;97.55
537.70;102.08
662.25;102.55
930.49;105.14
1198.73;106.95
1466.97;109.19
1735.21;110.38
2003.45;114.40
2271.69;121.56
2539.93;128.70
2753.40;137.27
3086.81;139.04
3420.21;138.44
3753.62;137.15
4087.03;136.61
4420.43;136.41
4753.84;135.30
5087.24;134.81
5208.18;135.41
5461.63;134.38
5715.08;134.81
5968.53;136.01
6221.97;134.62
6475.42;132.94
6728.87;131.18
6982.32;130.21
7184.02;129.78
7463.53;126.20
7743.04;125.35
8022.55;124.14
8302.06;124.75
8581.57;124.91
8861.07;123.48
8878.80;123.28
9193.52;122.63
9508.24;121.70
9822.96;117.95
10137.68;113.39
10452.40;111.17
10767.12;109.14
11081.84;113.21
11196.00;116.05
11499.39;120.40
11802.77;119.72
12106.15;118.68
12409.53;115.90
12712.92;118.28
13016.30;120.41
13298.33;121.18
13589.88;126.95
13881.43;132.75
14172.98;130.56
14464.52;119.97
14756.07;105.32
15047.62;101.58
15339.17;104.48
15630.71;112.32
15823.73;113.86
16085.66;118.33
16347.58;117.37
16609.50;112.63
16871.42;115.77
17133.35;120.08
17395.27;126.93
17638.76;132.53
17982.63;131.53
18326.51;122.22
18670.38;114.18
19014.25;116.04
19358.13;127.40
19702.00;136.65
20045.87;140.55
20319.54;140.09
20632.04;138.03
20944.54;137.48
21257.04;137.76
21569.54;139.65
21882.04;144.31
22194.54;149.38
22485.05;150.44
22769.37;147.93
23053.69;140.39
23338.01;133.40
23622.33;121.79
23906.65;114.64
24190.97;110.30
24475.29;110.62
24759.61;110.67
25043.93;114.83
25328.25;117.38
25440.40;116.76
25723.27;116.99
26006.14;115.28
26289.02;113.02
26571.89;112.14
26854.76;110.41
27137.64;106.50
27420.51;102.46
27523.12;100.25
27807.18;99.14
28091.24;102.17
