Distance;Velocity
0.00;66.40
252.42;73.23
504.84;77.45
757.27;79.44
881.43;80.32
1131.70;85.15
1381.97;96.48
1632.25;103.77
1882.52;94.70
2132.79;139.57
2383.06;138.88
2633.34;138.95
2883.61;139.77
3133.88;137.36
3347.38;134.65
3601.34;130.34
3855.29;120.77
4109.25;117.06
4363.20;111.44
4617.16;107.33
4871.11;104.52
5125.07;101.77
5379.02;98.89
5632.98;98.45
5886.93;96.36
6140.88;96.04
6394.84;109.48
6427.06;110.07
6677.14;121.56
6927.23;125.48
7177.32;119.30
7427.40;107.51
7677.49;96.24
7927.58;89.58
8177.66;87.23
8427.75;86.90
8677.84;89.42
8927.92;92.93
9178.01;95.05
9428.10;97.06
9678.18;97.30
9928.27;98.32
10178.36;100.97
10428.44;101.75
10542.95;100.24
10792.95;96.58
11042.95;91.28
11292.95;88.40
11542.95;88.63
11792.95;89.86
12042.95;89.63
12292.95;88.25
12542.95;89.06
12792.95;91.65
13042.95;93.17
13292.95;91.98
13542.95;88.59
13574.67;88.39
13825.61;85.75
14076.56;85.44
14327.50;86.13
14578.44;87.18
14829.39;88.16
15080.33;90.51
15331.27;94.55
15582.22;96.59
15833.16;94.42
16074.40;93.36
16325.07;93.01
16575.74;93.67
16826.41;95.93
17077.08;98.97
17327.75;100.72
17578.41;104.40
17829.08;106.06
18079.75;108.18
18330.42;110.16
18581.09;108.87
18831.76;104.09
19082.42;100.07
19333.09;98.89
19583.76;100.24
19834.43;102.81
20085.10;103.16
20335.77;102.58
20525.57;102.42
20775.57;103.90
21025.57;107.58
21275.57;110.81
21525.57;110.58
21775.57;108.10
22025.57;106.73
22275.57;106.44
22525.57;105.84
22775.57;106.54
23025.57;107.04
23275.57;107.95
23449.01;108.37
23699.36;106.73
23949.70;103.01
24200.05;100.98
24450.39;101.49
24700.74;103.59
24951.09;106.41
25201.43;107.55
25451.78;106.97
25509.09;106.24
25762.54;105.25
26015.99;105.28
26269.44;106.10
26522.89;109.10
26776.34;110.35
27029.78;109.97
27283.23;109.16
27484.94;109.10
27740.01;109.51
27995.08;108.70
28250.16;106.56
28505.23;103.44
28760.30;100.44
29015.38;99.25
