Distance;Velocity
0.00;85.09
252.42;78.05
504.84;76.44
757.27;83.14
881.43;91.61
1131.70;97.62
1381.97;95.24
1632.25;98.58
1882.52;95.80
2132.79;88.87
2383.06;85.60
2633.34;83.93
2883.61;84.22
3133.88;82.42
3347.38;81.28
3601.34;80.43
3855.29;76.26
4109.25;75.33
4363.20;73.51
4617.16;71.22
4871.11;68.52
5125.07;67.04
5379.02;66.70
5632.98;68.32
5886.93;67.70
6140.88;67.94
6394.84;78.97
6427.06;79.81
6677.14;90.24
6927.23;94.73
7177.32;88.73
7427.40;76.73
7677.49;68.01
7927.58;64.90
8177.66;69.45
8427.75;77.78
8677.84;81.63
8927.92;79.99
9178.01;76.12
9428.10;70.95
9678.18;68.83
9928.27;67.28
10178.36;67.08
10428.44;65.75
10542.95;63.21
10792.95;57.30
11042.95;51.02
11292.95;47.00
11542.95;45.97
11792.95;45.24
12042.95;44.83
12292.95;46.25
12542.95;50.58
12792.95;55.82
13042.95;58.98
13292.95;56.89
13542.95;50.01
13574.67;49.38
13825.61;44.03
14076.56;41.58
14327.50;44.63
14578.44;47.74
14829.39;48.29
15080.33;48.04
15331.27;48.03
15582.22;49.91
15833.16;53.47
16074.40;59.45
16325.07;67.68
16575.74;76.30
16826.41;81.04
17077.08;80.57
17327.75;79.31
17578.41;78.78
17829.08;78.46
18079.75;76.83
18330.42;75.15
18581.09;74.67
18831.76;76.11
19082.42;78.54
19333.09;78.60
19583.76;77.83
19834.43;76.12
20085.10;74.19
20335.77;73.11
20525.57;72.05
20775.57;72.15
21025.57;72.48
21275.57;72.29
21525.57;72.17
21775.57;72.60
22025.57;72.20
22275.57;71.71
22525.57;71.46
22775.57;70.64
23025.57;70.29
23275.57;70.64
23449.01;70.77
23699.36;71.47
23949.70;72.61
24200.05;74.65
24450.39;77.10
24700.74;80.19
24951.09;82.82
25201.43;85.36
25451.78;85.82
25509.09;85.69
25762.54;84.84
26015.99;84.03
26269.44;82.98
26522.89;83.01
26776.34;84.19
27029.78;84.96
27283.23;84.95
27484.94;84.56
27740.01;83.88
27995.08;83.35
28250.16;82.74
28505.23;82.27
28760.30;82.34
29015.38;83.60
