Distance;Velocity
0.00;100.61
268.85;110.91
537.70;121.76
662.25;127.76
930.49;132.43
1198.73;135.94
1466.97;136.49
1735.21;139.56
2003.45;140.00
2271.69;140.61
2539.93;140.29
2753.40;141.63
3086.81;143.04
3420.21;143.47
3753.62;142.57
4087.03;141.68
4420.43;139.76
4753.84;142.00
5087.24;146.32
5208.18;149.85
5461.63;152.53
5715.08;153.19
5968.53;153.26
6221.97;156.56
6475.42;159.68
6728.87;166.07
6982.32;168.67
7184.02;160.39
7463.53;143.93
7743.04;129.72
8022.55;116.89
8302.06;110.31
8581.57;108.94
8861.07;110.61
8878.80;111.10
9193.52;108.67
9508.24;103.41
9822.96;96.60
10137.68;91.36
10452.40;85.85
10767.12;83.60
11081.84;83.02
11196.00;81.94
11499.39;79.90
11802.77;77.33
12106.15;74.49
12409.53;74.12
12712.92;73.38
13016.30;71.62
13298.33;68.95
13589.88;62.79
13881.43;58.66
14172.98;57.17
14464.52;57.13
14756.07;59.76
15047.62;61.68
15339.17;63.94
15630.71;66.35
15823.73;67.26
16085.66;69.07
16347.58;70.25
16609.50;73.07
16871.42;73.91
17133.35;79.83
17395.27;83.70
17638.76;88.84
17982.63;91.74
18326.51;91.38
18670.38;90.38
19014.25;86.05
19358.13;83.82
19702.00;84.21
20045.87;85.89
20319.54;87.04
20632.04;89.70
20944.54;91.24
21257.04;91.73
21569.54;90.36
21882.04;87.53
22194.54;85.13
22485.05;83.11
22769.37;81.04
23053.69;78.07
23338.01;74.93
23622.33;72.27
23906.65;69.24
24190.97;67.64
24475.29;66.83
24759.61;68.55
25043.93;69.03
25328.25;72.11
25440.40;74.56
25723.27;75.94
26006.14;76.46
26289.02;76.25
26571.89;74.97
26854.76;79.18
27137.64;81.10
27420.51;83.37
27523.12;84.54
27807.18;85.70
28091.24;85.85
