Distance;Velocity
0.00;126.95
300.46;132.75
585.59;130.56
845.95;119.97
1106.30;105.32
1366.66;101.58
1627.02;104.48
1887.38;112.32
1966.92;113.86
2219.13;99.88
2471.34;98.86
2723.55;98.33
2975.77;97.50
3227.98;97.22
3480.19;97.23
3605.42;97.14
3867.59;96.15
4129.76;97.89
4391.93;101.63
4654.10;104.83
4916.27;105.28
5178.44;104.63
5440.61;104.55
5702.78;108.18
5762.80;110.75
6016.55;116.87
6270.30;118.13
6524.06;111.73
6777.81;99.05
7031.56;86.39
7285.31;73.62
7539.07;66.89
7792.82;62.83
8046.57;61.35
8290.52;59.36
8555.62;57.51
8820.72;55.55
9085.82;54.18
9350.93;52.88
9616.03;51.02
9881.13;50.07
10146.23;49.32
10411.34;48.53
10676.44;46.08
10941.54;44.45
11206.64;42.51
11361.86;41.54
11613.49;40.10
11865.11;37.86
12116.74;35.54
12368.37;34.26
12620.00;34.30
12871.62;34.36
13123.25;35.09
13374.88;35.99
13626.50;37.44
13878.13;39.06
14129.76;40.52
14381.39;40.78
14633.01;42.28
14884.64;44.80
15136.27;48.63
15176.17;49.53
15429.62;53.71
15683.07;56.91
15936.52;59.23
16189.97;59.93
16443.41;60.12
16696.86;60.93
16950.31;62.61
17203.76;63.30
17457.21;64.38
17710.66;64.63
17810.63;64.53
18061.52;64.05
18312.41;62.69
18563.30;62.03
18814.19;61.62
19065.09;60.72
19315.98;58.54
19566.87;55.01
19817.76;53.01
20068.65;51.24
20319.54;50.05
20570.43;48.83
20821.32;46.81
21072.21;46.09
21323.11;45.86
21574.00;46.51
21668.11;46.01
21920.65;46.26
22173.19;46.28
22425.73;46.71
22678.27;47.88
22930.80;48.59
23183.34;48.90
