Distance;Velocity
0.00;86.99
250.00;81.56
500.00;78.60
750.00;80.73
1000.00;81.53
1250.00;83.93
1500.00;83.73
1750.00;80.60
2000.00;77.17
2250.00;102.94
2500.00;103.39
2598.61;102.62
2856.31;102.45
3114.00;101.97
3371.70;105.76
3629.39;109.97
3887.08;114.96
4144.78;117.72
4384.34;119.02
4660.64;118.56
4936.94;118.96
5213.24;116.92
5489.53;114.37
5765.83;110.14
6042.13;102.11
6318.43;96.34
6418.65;96.62
6679.07;93.31
6939.49;95.35
7199.90;94.41
7460.32;91.15
7720.74;90.22
7981.15;93.58
8241.57;99.47
8501.99;103.55
8762.40;103.71
9022.82;102.29
9125.54;100.08
9380.91;96.41
9636.28;89.93
9891.65;83.08
10147.01;74.50
10402.38;71.18
10657.75;72.08
10913.12;73.47
11168.48;74.92
11423.85;74.42
11679.22;72.92
11779.95;73.04
12056.58;72.64
12333.21;74.23
12609.84;76.09
12886.47;78.96
13163.09;79.53
13439.72;79.95
13716.35;80.13
13992.98;79.15
14056.31;79.30
14326.42;80.03
14596.53;81.77
14866.65;84.61
15136.76;86.37
15406.87;86.97
15676.98;86.14
15947.09;84.46
16217.20;81.00
16487.31;76.11
16629.99;71.28
16920.04;68.24
17210.08;69.82
17500.13;74.28
17790.18;78.85
18080.22;80.66
18370.27;78.32
18660.31;76.28
18765.52;75.31
19018.70;74.46
19271.88;74.36
19525.06;73.68
19778.24;71.03
20031.42;68.38
20284.60;65.80
20537.78;65.86
20790.96;66.97
21044.14;67.82
21297.32;68.14
21506.84;67.86
21757.53;67.22
22008.21;67.94
22258.90;69.05
22509.58;69.82
22760.27;70.35
23010.95;69.16
23261.64;67.56
23512.32;65.62
23763.00;65.12
24013.69;68.52
24264.37;71.50
24438.29;71.89
24690.83;69.05
24943.37;65.36
25195.90;65.92
25448.44;67.15
25700.98;68.22
25953.52;68.96
25969.54;69.17
26223.56;69.43
26477.57;69.80
26731.59;69.98
26985.61;69.59
