Distance;Velocity
0.00;127.40
300.46;136.65
585.59;140.55
845.95;140.09
1106.30;138.03
1366.66;137.48
1627.02;137.76
1887.38;139.65
1966.92;144.31
2219.13;87.69
2471.34;88.87
2723.55;92.07
2975.77;95.74
3227.98;98.25
3480.19;101.29
3605.42;101.29
3867.59;100.26
4129.76;100.26
4391.93;102.69
4654.10;107.62
4916.27;110.27
5178.44;111.57
5440.61;112.74
5702.78;118.61
5762.80;123.31
6016.55;134.44
6270.30;140.01
6524.06;134.60
6777.81;117.83
7031.56;99.21
7285.31;82.60
7539.07;75.97
7792.82;72.33
8046.57;67.79
8290.52;63.27
8555.62;58.90
8820.72;54.76
9085.82;55.29
9350.93;54.93
9616.03;53.17
9881.13;53.14
10146.23;53.82
10411.34;56.49
10676.44;58.57
10941.54;58.54
11206.64;54.05
11361.86;48.86
11613.49;43.49
11865.11;40.05
12116.74;38.23
12368.37;39.60
12620.00;42.35
12871.62;42.53
13123.25;43.19
13374.88;44.95
13626.50;45.29
13878.13;47.39
14129.76;48.60
14381.39;49.75
14633.01;48.88
14884.64;49.41
15136.27;51.87
15176.17;52.63
15429.62;55.92
15683.07;57.98
15936.52;58.83
16189.97;58.79
16443.41;60.07
16696.86;61.29
16950.31;66.67
17203.76;70.82
17457.21;74.41
17710.66;76.11
17810.63;77.21
18061.52;78.24
18312.41;77.75
18563.30;76.64
18814.19;74.99
19065.09;73.67
19315.98;73.04
19566.87;71.05
19817.76;68.52
20068.65;65.67
20319.54;63.22
20570.43;62.33
20821.32;63.47
21072.21;64.92
21323.11;65.40
21574.00;66.50
21668.11;66.01
21920.65;65.76
22173.19;65.93
22425.73;66.30
22678.27;66.29
22930.80;66.44
23183.34;66.72
