Distance;Velocity
0.00;43.66
268.85;46.17
537.70;48.14
662.25;48.25
930.49;49.24
1198.73;49.32
1466.97;49.22
1735.21;48.22
2003.45;49.40
2271.69;52.47
2539.93;56.09
2753.40;59.69
3086.81;60.16
3420.21;58.16
3753.62;59.27
4087.03;62.98
4420.43;66.61
4753.84;68.11
5087.24;66.53
5208.18;66.24
5461.63;63.89
5715.08;61.88
5968.53;62.22
6221.97;63.68
6475.42;64.13
6728.87;63.99
6982.32;64.29
7184.02;64.69
7463.53;65.25
7743.04;65.56
8022.55;65.60
8302.06;64.72
8581.57;63.47
8861.07;62.96
8878.80;62.85
9193.52;62.01
9508.24;60.89
9822.96;58.55
10137.68;56.56
10452.40;57.70
10767.12;61.45
11081.84;69.63
11196.00;69.30
11499.39;73.25
11802.77;78.29
12106.15;85.66
12409.53;88.58
12712.92;83.05
13016.30;81.91
13298.33;80.87
13589.88;86.99
13881.43;81.56
14172.98;78.60
14464.52;80.73
14756.07;81.53
15047.62;83.93
15339.17;83.73
15630.71;80.60
15823.73;77.17
16085.66;79.57
16347.58;77.99
16609.50;76.76
16871.42;75.56
17133.35;78.21
17395.27;86.68
17638.76;93.79
17982.63;98.10
18326.51;98.31
18670.38;93.48
19014.25;93.66
19358.13;95.30
19702.00;93.32
20045.87;90.41
20319.54;90.67
20632.04;95.31
20944.54;99.32
21257.04;102.05
21569.54;104.71
21882.04;107.52
22194.54;110.55
22485.05;113.58
22769.37;113.74
23053.69;109.08
23338.01;103.88
23622.33;94.04
23906.65;88.61
24190.97;84.73
24475.29;83.29
24759.61;82.69
25043.93;83.22
25328.25;82.83
25440.40;82.67
25723.27;81.75
26006.14;81.42
26289.02;81.19
26571.89;80.88
26854.76;81.02
27137.64;81.98
27420.51;83.06
27523.12;83.51
27807.18;84.41
28091.24;87.09
