2008- 81;07;39;25;60;03;78;00;58;57;27;06;14;56;26;02;01;04;05;59
2009- 88;89;08;85;81;45;74;71;00;13;72;73;05;26;11;04;27;03;09;10
2010- 85;22;21;17;65;40;01;34;05;88;07;03;08;18;90;89;50;02;49;87
2011- 56;17;59;11;74;28;68;05;10;07;31;06;00;09;15;72;03;04;08;73
2012- 27;09;30;12;33;55;18;11;05;57;32;04;56;54;13;20;23;24;10;19
2013- 47;39;02;07;00;01;24;15;10;16;22;09;08;06;23;30;38;29;04;05
2014- 20;06;00;39;40;13;09;14;15;41;11;08;37;10;18;45;03;38;05;04
2015- 24;89;64;09;63;19;17;08;05;31;06;14;01;44;04;16;81;15;00;03
2016- 16;34;07;61;24;66;43;65;27;04;15;39;30;00;23;28;29;06;05;44
