2008- 33;89;20;44;57;02;90;14;13;83;78;26;80;05;00;59;01;77;81;04
2009- 07;12;31;41;44;27;45;26;55;29;11;04;10;06;02;03;28;15;30;14
2010- 38;16;19;88;02;15;24;40;00;89;39;20;23;01;49;22;21;47;87;48
2011- 25;79;12;31;77;29;47;05;10;02;73;48;04;14;72;16;09;07;08;03
2012- 20;24;11;03;37;36;64;53;52;13;12;18;65;10;55;25;23;54;09;19
2013- 39;83;01;10;06;16;00;22;30;23;89;37;07;15;05;38;09;08;29;04
2014- 16;23;11;38;37;08;09;00;18;17;19;40;05;10;04;06;07;22;12;03
2015- 81;22;29;07;41;55;16;28;06;23;43;45;01;20;00;04;05;44;02;03
2016- 37;38;33;32;16;36;29;12;81;61;04;06;39;83;82;64;05;43;65;44
