2008- 01;01;02;04;04;06;07;09;10;15;18;23;24;30;40;67;95;202;266;672
2009- 00;00;00;00;00;00;00;00;01;01;01;01;01;02;04;13;15;27;33;112
2010- 01;01;01;01;01;01;01;02;02;02;03;03;10;11;12;15;38;49;91;94
2011- 00;00;00;00;00;00;00;00;01;01;01;01;02;03;04;24;26;55;72;300
2012- 10;14;16;16;17;26;26;33;40;64;68;69;74;102;103;105;170;191;234;411
2013- 01;02;04;04;05;11;11;12;19;20;31;33;39;42;50;60;106;153;162;650
2014- 00;00;00;01;01;01;01;02;03;04;04;07;07;09;14;14;31;46;127;268
2015- 00;00;00;00;01;01;01;01;01;02;02;03;04;05;15;19;21;49;90;165
2016- 00;00;01;01;01;01;01;02;03;03;04;04;06;07;13;14;14;34;35;37
