2008- 68;69;70;75;92;93;97;99;141;201;203;247;305;346;352;676;914;1402;1950;3422
2009- 09;10;10;11;12;16;17;18;28;32;35;46;50;65;99;136;227;320;450;487
2010- 37;44;51;74;83;105;107;110;134;139;151;211;233;246;295;310;339;444;603;669
2011- 06;06;06;07;09;10;10;13;24;78;87;93;122;180;199;278;332;664;803;878
2012- 134;182;223;265;308;341;348;383;410;426;478;571;594;854;870;1588;2288;2458;2476;2818
2013- 39;41;41;52;70;75;89;112;158;160;181;192;243;654;727;838;913;982;1487;3141
2014- 22;25;25;27;35;36;55;60;69;94;108;146;226;264;274;353;574;729;1028;2495
2015- 14;15;17;18;18;19;23;24;67;88;92;97;359;382;482;643;760;1430;2171;4304
2016- 11;15;16;16;17;20;23;31;41;46;52;60;75;112;117;174;225;303;318;369
