Distance;Velocity
0.00;5784.98
308.38;5354.10
616.77;5054.33
925.15;4755.54
1233.53;4487.51
1267.71;4458.52
1566.41;4195.25
1865.11;3962.17
2163.80;3706.65
2462.50;3524.77
2761.20;3384.48
3041.33;3314.61
3328.50;3336.50
3615.67;3312.71
3902.85;3198.63
4190.02;2912.33
4477.19;2587.68
4549.76;2507.95
4812.52;2324.80
5075.28;2237.21
5338.04;2152.21
5600.80;2035.93
5863.55;1952.38
6126.31;1876.60
6389.07;1826.42
6590.06;1813.67
6843.50;1684.92
7096.95;1476.51
7350.40;1247.25
7603.85;1074.55
7857.30;941.57
8110.75;865.88
8364.20;809.20
8617.64;765.80
8871.09;723.65
9021.12;701.70
9271.92;683.77
9522.72;681.74
9773.51;682.49
10024.31;680.53
10275.11;682.64
10525.91;701.75
10776.71;725.79
11027.51;749.56
11278.31;757.43
11529.11;742.17
11779.90;720.56
11884.98;713.32
12135.22;693.47
12385.46;690.86
12635.69;694.69
12885.93;702.35
13136.16;706.15
13386.40;709.72
13636.64;714.51
13886.87;717.56
14137.11;714.98
14387.35;711.24
14513.83;704.34
14764.47;699.76
15015.10;691.15
15265.74;674.28
15516.38;646.89
15767.01;617.07
16017.65;591.21
16116.56;583.93
16367.38;566.63
16618.20;556.08
16869.02;549.05
17119.84;536.83
17370.66;526.45
17621.48;515.85
17872.30;507.68
18123.12;503.64
18236.00;502.15
18489.76;498.57
18743.51;490.25
18997.26;482.73
19251.01;471.32
19504.77;465.43
19568.90;465.10
19829.90;462.00
20090.91;463.44
20351.92;459.30
20612.93;452.78
20873.93;445.24
21134.94;441.14
21357.16;437.29
21619.65;433.47
21882.14;431.32
22144.63;427.19
22407.11;421.93
22669.60;419.57
22855.83;417.62
23122.83;417.15
23389.83;414.97
23656.83;406.15
23923.83;397.01
24190.83;382.76
24457.83;373.02
24724.83;369.77
24807.11;370.56
25091.88;367.50
25376.65;361.75
25661.43;356.28
25946.20;345.32
26230.97;337.70
26515.74;322.78
26800.51;313.18
27085.28;301.88
27370.06;299.54
27654.83;299.44
27668.70;299.38
27950.16;295.35
28231.62;286.28
28513.08;271.58
28794.55;253.47
29076.01;234.20
29357.47;219.88
