Distance;Velocity
0.00;863.23
250.97;784.53
501.94;759.36
752.91;773.25
1003.89;803.67
1254.86;824.09
1505.83;824.42
1756.80;790.84
1948.77;767.28
2206.46;715.38
2464.16;684.98
2721.85;657.81
2979.54;631.68
3237.24;610.71
3494.93;590.59
3752.63;566.40
3832.03;559.06
4090.94;541.71
4349.84;534.26
4608.74;534.60
4867.64;534.70
5126.54;534.59
5369.36;537.59
5666.18;544.32
5962.99;552.04
6259.81;560.52
6556.63;573.16
6853.44;588.89
7064.03;590.57
7371.26;597.92
7678.48;604.97
7985.71;614.73
8292.93;625.83
8537.48;621.38
8844.70;607.62
9151.93;598.83
9459.16;592.82
9519.78;592.57
9817.55;585.59
10115.32;581.86
10413.09;580.74
10675.86;582.50
10976.32;581.39
11276.78;575.84
11577.25;576.47
11877.71;567.57
12116.87;570.27
12381.98;577.28
12647.10;574.95
12912.21;573.62
13146.16;576.00
13460.88;609.22
13775.60;660.20
14090.32;705.13
14368.05;721.31
14702.53;688.99
15037.02;654.89
15371.51;644.38
15706.00;651.31
15743.07;654.60
16048.24;654.84
16353.40;644.18
16658.56;607.29
16963.73;577.66
17136.94;561.81
17459.95;556.29
17782.97;560.61
17948.41;554.78
18270.52;515.95
18592.64;456.10
18914.76;407.72
19125.45;378.40
19409.77;351.87
19694.09;329.23
19978.41;315.37
20262.73;311.05
20547.05;308.63
20683.84;307.93
20999.78;302.72
21315.72;304.68
21631.66;305.85
21947.60;305.37
22263.54;298.97
22271.24;298.58
22565.26;284.07
22859.29;276.77
23153.31;278.67
23447.34;292.07
23681.38;308.90
23976.19;337.90
24271.00;348.33
24565.81;343.10
24758.64;328.67
25087.91;325.93
25417.18;346.87
25746.45;373.37
26075.72;379.64
