Distance;Velocity
0.00;5997.52
308.38;5628.61
616.77;5336.65
925.15;5039.56
1233.53;4761.63
1267.71;4732.03
1566.41;4455.18
1865.11;4213.08
2163.80;3949.46
2462.50;3762.25
2761.20;3610.66
3041.33;3533.01
3328.50;3551.30
3615.67;3522.81
3902.85;3395.48
4190.02;3090.64
4477.19;2748.68
4549.76;2663.01
4812.52;2471.92
5075.28;2382.68
5338.04;2293.42
5600.80;2164.75
5863.55;2068.79
6126.31;1978.09
6389.07;1920.96
6590.06;1906.91
6843.50;1772.98
7096.95;1560.07
7350.40;1327.10
7603.85;1151.53
7857.30;1014.49
8110.75;932.78
8364.20;869.96
8617.64;822.14
8871.09;778.31
9021.12;756.76
9271.92;742.47
9522.72;742.19
9773.51;743.97
10024.31;743.80
10275.11;748.32
10525.91;771.40
10776.71;798.78
11027.51;824.97
11278.31;830.90
11529.11;811.62
11779.90;785.94
11884.98;777.46
12135.22;755.24
12385.46;752.51
12635.69;756.27
12885.93;765.74
13136.16;769.94
13386.40;774.09
13636.64;780.02
13886.87;784.90
14137.11;783.24
14387.35;780.56
14513.83;773.16
14764.47;769.49
15015.10;760.68
15265.74;740.20
15516.38;706.08
15767.01;669.86
16017.65;640.27
16116.56;632.81
16367.38;617.98
16618.20;612.28
16869.02;607.69
17119.84;596.21
17370.66;583.91
17621.48;571.91
17872.30;562.56
18123.12;556.68
18236.00;553.27
18489.76;546.22
18743.51;534.72
18997.26;526.36
19251.01;516.64
19504.77;517.10
19568.90;517.57
19829.90;517.19
20090.91;517.53
20351.92;509.51
20612.93;497.70
20873.93;488.92
21134.94;486.89
21357.16;484.91
21619.65;483.82
21882.14;483.11
22144.63;478.21
22407.11;472.33
22669.60;468.55
22855.83;466.33
23122.83;463.54
23389.83;455.56
23656.83;440.24
23923.83;422.40
24190.83;405.60
24457.83;400.48
24724.83;407.32
24807.11;410.27
25091.88;412.17
25376.65;406.61
25661.43;399.17
25946.20;388.69
26230.97;381.20
26515.74;369.95
26800.51;363.61
27085.28;354.27
27370.06;354.27
27654.83;356.96
27668.70;356.56
27950.16;350.75
28231.62;335.67
28513.08;309.50
28794.55;283.02
29076.01;261.57
29357.47;253.48
