Distance;Velocity
0.00;5755.74
294.03;5414.89
588.05;5097.98
882.08;4839.47
1176.10;4567.28
1410.14;4312.39
1754.97;3993.22
2099.80;3745.82
2444.62;3520.14
2789.45;3322.68
2985.17;3268.88
3338.73;3181.35
3692.28;3094.04
4045.83;2849.78
4399.39;2504.10
4438.57;2415.33
4754.51;2230.65
5070.45;2160.90
5386.40;2087.00
5702.34;2038.30
6018.28;2103.14
6025.97;2103.14
6334.03;2163.70
6642.09;2104.50
6950.15;1967.55
7258.21;1817.89
7566.27;1736.88
7784.83;1710.41
8082.60;1716.63
8380.37;1760.39
8678.14;1808.69
8940.91;1775.03
9216.26;1707.52
9491.60;1618.77
9758.39;1561.15
10051.93;1539.08
10345.48;1523.35
10629.90;1515.20
10955.33;1529.95
11280.76;1550.45
11521.75;1568.19
11835.39;1595.97
12149.03;1612.09
12462.67;1606.76
12776.31;1589.83
13089.95;1579.42
13403.59;1568.24
13717.23;1561.35
13885.51;1547.96
14189.57;1533.15
14493.64;1505.45
14797.70;1463.55
15101.77;1410.73
15405.83;1386.92
15691.01;1359.79
16016.44;1339.45
16341.86;1325.03
16667.29;1303.56
16992.72;1279.63
17028.78;1277.92
17326.56;1263.25
17624.33;1256.15
17922.10;1254.46
18184.87;1253.36
18472.81;1244.02
18760.74;1230.74
19048.68;1209.13
19336.62;1190.55
19565.81;1170.71
19851.80;1158.44
20137.79;1124.39
20423.78;1093.84
20709.77;1050.92
20741.46;1050.92
21095.02;1009.89
21448.57;966.13
21802.12;918.89
22155.68;871.86
22194.86;871.86
22509.58;828.31
22824.30;797.63
23139.02;774.72
23416.75;751.04
23702.06;737.21
23987.38;721.61
24272.70;711.08
24558.02;701.20
24719.96;694.06
25023.34;687.75
25326.73;683.90
25630.11;678.97
25828.54;672.20
26129.01;661.48
26429.47;647.71
26651.98;632.26
26908.08;619.93
27164.17;604.30
27420.27;588.49
27676.37;568.99
27704.76;566.15
27977.89;546.20
28251.02;526.00
28524.15;515.71
28797.28;511.11
29070.41;507.42
29264.19;505.23
29589.62;491.76
29915.04;473.55
30156.04;460.32
30454.74;444.41
30753.43;429.76
31052.13;420.20
31350.83;412.63
31649.52;406.63
