Distance;Velocity
0.00;787.73
250.97;711.86
501.94;683.82
752.91;693.22
1003.89;720.43
1254.86;741.42
1505.83;742.91
1756.80;711.56
1948.77;688.78
2206.46;639.65
2464.16;610.49
2721.85;583.78
2979.54;558.78
3237.24;537.64
3494.93;514.87
3752.63;488.97
3832.03;480.39
4090.94;462.50
4349.84;456.32
4608.74;458.26
4867.64;456.35
5126.54;452.88
5369.36;453.99
5666.18;459.96
5962.99;467.27
6259.81;472.60
6556.63;479.35
6853.44;490.95
7064.03;493.80
7371.26;505.88
7678.48;518.91
7985.71;526.27
8292.93;531.35
8537.48;524.40
8844.70;509.47
9151.93;499.58
9459.16;494.88
9519.78;494.22
9817.55;489.78
10115.32;485.66
10413.09;483.80
10675.86;483.41
10976.32;482.63
11276.78;479.62
11577.25;480.09
11877.71;475.26
12116.87;479.47
12381.98;487.41
12647.10;484.73
12912.21;480.74
13146.16;481.34
13460.88;510.64
13775.60;556.00
14090.32;598.23
14368.05;617.77
14702.53;594.07
15037.02;565.01
15371.51;553.07
15706.00;554.80
15743.07;557.16
16048.24;553.92
16353.40;541.62
16658.56;505.72
16963.73;479.23
17136.94;465.23
17459.95;461.02
17782.97;466.10
17948.41;462.52
18270.52;430.09
18592.64;381.15
18914.76;342.05
19125.45;319.63
19409.77;302.46
19694.09;289.48
19978.41;278.83
20262.73;275.45
20547.05;273.74
20683.84;274.21
20999.78;274.70
21315.72;276.84
21631.66;277.11
21947.60;272.61
22263.54;264.76
22271.24;264.26
22565.26;251.26
22859.29;247.68
23153.31;252.02
23447.34;265.10
23681.38;281.93
23976.19;310.21
24271.00;322.22
24565.81;321.63
24758.64;312.92
25087.91;318.06
25417.18;338.51
25746.45;356.10
26075.72;358.83
