Distance;Velocity
0.00;96.77
264.69;97.84
529.38;98.74
794.07;98.83
1058.76;100.18
1323.46;100.58
1390.35;100.67
1641.48;100.34
1892.61;100.31
2143.75;101.21
2394.88;102.42
2594.77;103.85
2845.64;104.97
3096.50;106.15
3347.37;107.26
3598.24;108.40
3849.10;109.65
3969.80;109.96
4242.68;112.21
4515.55;113.94
4788.43;116.50
5061.31;118.27
5334.19;119.08
5607.07;118.74
5879.95;118.19
5964.03;117.86
6238.65;118.98
6513.26;120.38
6787.88;121.03
7062.49;122.43
7337.11;122.53
7343.80;122.53
7669.22;121.03
7994.65;119.55
8320.08;121.90
8645.50;123.22
8970.93;123.43
9127.50;124.30
9433.19;128.04
9738.89;133.71
10044.58;141.70
10350.28;147.27
10655.98;152.01
10961.67;157.81
11012.49;159.38
11324.99;162.50
11637.49;163.81
11949.99;165.65
12262.49;163.19
12574.99;161.71
12725.34;161.28
13023.81;160.95
13322.28;164.70
13620.74;165.09
13919.21;168.78
14217.68;170.41
14293.11;170.71
14564.37;169.44
14835.63;169.91
15106.88;170.31
15378.14;172.45
15470.15;172.86
15725.10;175.11
15980.05;173.80
16235.01;171.48
16343.54;168.71
16615.10;167.02
16886.67;166.70
17158.24;166.98
17429.81;167.28
17701.37;171.54
17972.94;173.95
18244.51;175.86
18390.21;176.55
18705.62;176.37
19021.03;174.99
19326.64;171.95
19669.64;169.53
20012.65;168.00
20355.66;165.82
20698.66;164.43
21041.67;162.97
21384.68;160.81
21727.69;156.80
21911.72;154.71
22191.23;150.61
22470.73;145.65
22750.24;145.40
23029.75;144.85
23309.26;144.28
23588.77;141.98
23699.07;141.11
23955.52;138.82
24211.97;135.32
24468.41;133.93
24724.86;130.92
24981.31;129.11
25237.76;127.95
25494.20;125.52
25748.93;121.92
26004.17;119.33
26259.41;120.86
26514.66;124.87
26769.90;126.18
27025.15;120.85
27280.39;115.04
27535.63;114.05
27730.87;114.99
27986.56;118.39
28242.26;123.47
28497.95;126.09
28753.65;126.12
29009.34;124.27
29265.04;124.00
29483.10;126.44
29746.62;130.58
