Distance;Velocity
0.00;5940.60
294.03;5597.71
588.05;5290.69
882.08;5036.56
1176.10;4764.62
1410.14;4506.55
1754.97;4185.04
2099.80;3936.29
2444.62;3703.53
2789.45;3490.59
2985.17;3431.13
3338.73;3335.46
3692.28;3245.40
4045.83;2987.98
4399.39;2627.11
4438.57;2535.42
4754.51;2345.28
5070.45;2271.81
5386.40;2193.90
5702.34;2144.59
6018.28;2217.69
6025.97;2217.69
6334.03;2290.99
6642.09;2232.24
6950.15;2079.00
7258.21;1910.24
7566.27;1820.40
7784.83;1792.12
8082.60;1798.10
8380.37;1835.89
8678.14;1883.32
8940.91;1850.97
9216.26;1782.39
9491.60;1691.54
9758.39;1626.69
10051.93;1600.66
10345.48;1583.16
10629.90;1574.62
10955.33;1589.31
11280.76;1609.85
11521.75;1629.46
11835.39;1658.40
12149.03;1675.10
12462.67;1669.73
12776.31;1651.27
13089.95;1638.01
13403.59;1624.66
13717.23;1616.77
13885.51;1605.10
14189.57;1591.78
14493.64;1566.26
14797.70;1525.39
15101.77;1471.63
15405.83;1446.32
15691.01;1415.88
16016.44;1392.38
16341.86;1377.18
16667.29;1355.05
16992.72;1331.23
17028.78;1329.63
17326.56;1316.41
17624.33;1312.98
17922.10;1314.73
18184.87;1316.78
18472.81;1312.63
18760.74;1301.23
19048.68;1279.22
19336.62;1259.10
19565.81;1235.55
19851.80;1223.10
20137.79;1184.56
20423.78;1149.44
20709.77;1102.58
20741.46;1102.58
21095.02;1056.69
21448.57;1011.74
21802.12;963.17
22155.68;913.54
22194.86;913.54
22509.58;870.14
22824.30;839.47
23139.02;814.11
23416.75;786.31
23702.06;767.55
23987.38;746.70
24272.70;735.84
24558.02;727.42
24719.96;723.77
25023.34;716.10
25326.73;711.21
25630.11;705.93
25828.54;698.04
26129.01;685.97
26429.47;673.67
26651.98;659.20
26908.08;649.29
27164.17;634.79
27420.27;619.34
27676.37;598.37
27704.76;595.43
27977.89;572.79
28251.02;548.11
28524.15;533.73
28797.28;528.12
29070.41;528.32
29264.19;530.51
29589.62;525.31
29915.04;509.78
30156.04;497.00
30454.74;481.93
30753.43;457.45
31052.13;394.80
31350.83;316.39
31649.52;293.90
