Years;Values
1985;1.594
1986;58.002
1987;1.443
1988;14.865
1989;0.733
1990;1.735
1991;45.257
1992;3.059
1993;27.819
1994;0.000
1995;14.593
1996;10.233
1997;3.276
1998;4.815
1999;0.105
2000;32.398
2001;13.273
2002;26.998
2003;4.656
2004;1.917
2005;1.239
2006;12.398
2007;6.641
2008;13.028
2009;5.904
2010;18.037
2011;11.288
2012;3.243
2013;28.251
2014;27.731
2015;13.347
