Years;Values
1985;5.478
1986;34.041
1987;5.009
1988;16.021
1989;2.477
1990;3.262
1991;24.674
1992;1.357
1993;36.278
1994;2.171
1995;18.645
1996;3.066
1997;6.610
1998;20.042
1999;1.227
2000;46.836
2001;14.678
2002;17.222
2003;29.880
2004;7.406
2005;5.740
2006;18.412
2007;16.189
2008;18.240
2009;5.770
2010;76.109
2011;16.636
2012;8.405
2013;15.448
2014;30.591
2015;11.502
