Years;Values
1985;5.336
1986;-1.497
1987;2.388
1988;3.933
1989;0.072
1990;0.886
1991;0.048
1992;1.290
1993;-0.067
1994;0.923
1995;4.436
1996;0.832
1997;0.138
1998;0.474
1999;0.483
2000;0.740
2001;2.171
2002;0.106
2003;0.053
2004;2.599
2005;0.788
2006;0.375
2007;0.647
2008;-0.370
2009;1.475
2010;0.268
2011;0.602
2012;0.773
2013;0.691
2014;0.430
2015;-0.189
